Domain Code,Domain,AreaCode,AreaName,ElementCode,ElementName,ItemCode,ItemName,Year,Value,Flag,FlagD
RL,Land,151,Netherlands Antilles (former),5110,Area,6601,Land area,2012,80000,W,Data reported on country official publications or web sites (Official) or trade country files
RL,Land,153,New Caledonia,5110,Area,6601,Land area,2012,1828000,Q,Official data reported on FAO Questionnaires from countries
RL,Land,154,The former Yugoslav Republic of Macedonia,5110,Area,6601,Land area,2012,2522000,Q,Official data reported on FAO Questionnaires from countries
RL,Land,155,Vanuatu,5110,Area,6601,Land area,2012,1219000,Fm,Manual Estimation
RL,Land,156,New Zealand,5110,Area,6601,Land area,2012,26331000,Q,Official data reported on FAO Questionnaires from countries
RL,Land,157,Nicaragua,5110,Area,6601,Land area,2012,12034000,W,Data reported on country official publications or web sites (Official) or trade country files
RL,Land,158,Niger,5110,Area,6601,Land area,2012,126670000,Fm,Manual Estimation
RL,Land,159,Nigeria,5110,Area,6601,Land area,2012,91077000,Fm,Manual Estimation
RL,Land,160,Niue,5110,Area,6601,Land area,2012,26000,W,Data reported on country official publications or web sites (Official) or trade country files
RL,Land,161,Norfolk Island,5110,Area,6601,Land area,2012,4000,W,Data reported on country official publications or web sites (Official) or trade country files
RL,Land,162,Norway,5110,Area,6601,Land area,2012,36524500,Q,Official data reported on FAO Questionnaires from countries
RL,Land,163,Northern Mariana Islands,5110,Area,6601,Land area,2012,46000,W,Data reported on country official publications or web sites (Official) or trade country files
RL,Land,165,Pakistan,5110,Area,6601,Land area,2012,77088000,Fm,Manual Estimation
RL,Land,166,Panama,5110,Area,6601,Land area,2012,7434000,Fm,Manual Estimation
RL,Land,167,Czech Republic,5110,Area,6601,Land area,2012,7723000,Q,Official data reported on FAO Questionnaires from countries
RL,Land,168,Papua New Guinea,5110,Area,6601,Land area,2012,45286000,Fm,Manual Estimation
RL,Land,169,Paraguay,5110,Area,6601,Land area,2012,39730000,Fm,Manual Estimation
RL,Land,170,Peru,5110,Area,6601,Land area,2012,128000000,Fm,Manual Estimation
RL,Land,171,Philippines,5110,Area,6601,Land area,2012,29817000,W,Data reported on country official publications or web sites (Official) or trade country files
RL,Land,172,Pitcairn Islands,5110,Area,6601,Land area,2012,4700,W,Data reported on country official publications or web sites (Official) or trade country files
RL,Land,173,Poland,5110,Area,6601,Land area,2012,30622000,Q,Official data reported on FAO Questionnaires from countries
RL,Land,174,Portugal,5110,Area,6601,Land area,2012,9159000,Fm,Manual Estimation
RL,Land,175,Guinea-Bissau,5110,Area,6601,Land area,2012,2812000,Fm,Manual Estimation
RL,Land,176,Timor-Leste,5110,Area,6601,Land area,2012,1487000,Fm,Manual Estimation
RL,Land,177,Puerto Rico,5110,Area,6601,Land area,2012,887000,Fm,Manual Estimation
RL,Land,178,Eritrea,5110,Area,6601,Land area,2012,10100000,Fm,Manual Estimation
RL,Land,179,Qatar,5110,Area,6601,Land area,2012,1161000,Q,Official data reported on FAO Questionnaires from countries
RL,Land,180,Palau,5110,Area,6601,Land area,2012,46000,Fm,Manual Estimation
RL,Land,181,Zimbabwe,5110,Area,6601,Land area,2012,38685000,Fm,Manual Estimation
RL,Land,182,Réunion,5110,Area,6601,Land area,2012,250000,Fm,Manual Estimation
RL,Land,183,Romania,5110,Area,6601,Land area,2012,23002000,Q,Official data reported on FAO Questionnaires from countries
RL,Land,184,Rwanda,5110,Area,6601,Land area,2012,2467000,Fm,Manual Estimation
RL,Land,185,Russian Federation,5110,Area,6601,Land area,2012,1637687000,Fm,Manual Estimation
RL,Land,187,"Saint Helena, Ascension and Tristan da Cunha",5110,Area,6601,Land area,2012,39000,Fm,Manual Estimation
RL,Land,188,Saint Kitts and Nevis,5110,Area,6601,Land area,2012,26000,Q,Official data reported on FAO Questionnaires from countries
RL,Land,189,Saint Lucia,5110,Area,6601,Land area,2012,61000,Fm,Manual Estimation
RL,Land,190,Saint Pierre and Miquelon,5110,Area,6601,Land area,2012,23000,Fm,Manual Estimation
RL,Land,191,Saint Vincent and the Grenadines,5110,Area,6601,Land area,2012,39000,W,Data reported on country official publications or web sites (Official) or trade country files
RL,Land,192,San Marino,5110,Area,6601,Land area,2012,6000,W,Data reported on country official publications or web sites (Official) or trade country files
RL,Land,193,Sao Tome and Principe,5110,Area,6601,Land area,2012,96000,Fm,Manual Estimation
RL,Land,194,Saudi Arabia,5110,Area,6601,Land area,2012,214969000,W,Data reported on country official publications or web sites (Official) or trade country files
RL,Land,195,Senegal,5110,Area,6601,Land area,2012,19253000,Fm,Manual Estimation
RL,Land,196,Seychelles,5110,Area,6601,Land area,2012,46000,Fm,Manual Estimation
RL,Land,197,Sierra Leone,5110,Area,6601,Land area,2012,7218000,Fm,Manual Estimation
RL,Land,198,Slovenia,5110,Area,6601,Land area,2012,2014000,Q,Official data reported on FAO Questionnaires from countries
RL,Land,199,Slovakia,5110,Area,6601,Land area,2012,4808800,Q,Official data reported on FAO Questionnaires from countries
RL,Land,200,Singapore,5110,Area,6601,Land area,2012,70600,Fm,Manual Estimation
RL,Land,201,Somalia,5110,Area,6601,Land area,2012,62734000,Fm,Manual Estimation
RL,Land,202,South Africa,5110,Area,6601,Land area,2012,121309000,Fm,Manual Estimation
RL,Land,203,Spain,5110,Area,6601,Land area,2012,50021000,Q,Official data reported on FAO Questionnaires from countries
RL,Land,205,Western Sahara,5110,Area,6601,Land area,2012,26600000,I,"Country data reported by International Organizations where the country is a member (Semi-official) - WTO, EU, UNSD, etc."
RL,Land,207,Suriname,5110,Area,6601,Land area,2012,15600000,Fm,Manual Estimation
RL,Land,208,Tajikistan,5110,Area,6601,Land area,2012,13996000,Fm,Manual Estimation
RL,Land,209,Swaziland,5110,Area,6601,Land area,2012,1720000,Fm,Manual Estimation
RL,Land,210,Sweden,5110,Area,6601,Land area,2012,40734000,W,Data reported on country official publications or web sites (Official) or trade country files
RL,Land,211,Switzerland,5110,Area,6601,Land area,2012,3951600,Q,Official data reported on FAO Questionnaires from countries
RL,Land,212,Syrian Arab Republic,5110,Area,6601,Land area,2012,18363000,Q,Official data reported on FAO Questionnaires from countries
RL,Land,213,Turkmenistan,5110,Area,6601,Land area,2012,46993000,Fm,Manual Estimation
RL,Land,214,"China, Taiwan Province of",5110,Area,6601,Land area,2012,3541000,Fm,Manual Estimation
RL,Land,215,United Republic of Tanzania,5110,Area,6601,Land area,2012,88580000,Fm,Manual Estimation
RL,Land,216,Thailand,5110,Area,6601,Land area,2012,51089000,Fm,Manual Estimation
RL,Land,217,Togo,5110,Area,6601,Land area,2012,5439000,Fm,Manual Estimation
RL,Land,218,Tokelau,5110,Area,6601,Land area,2012,1000,W,Data reported on country official publications or web sites (Official) or trade country files
RL,Land,219,Tonga,5110,Area,6601,Land area,2012,72000,W,Data reported on country official publications or web sites (Official) or trade country files
